"ART_CODIGO";"ART_PROV";"ART_SUSTITUTO";"ART_LINEA";"ART_MARCA";"ART_GRUPO";"ART_IMPU";"ART_CODIGO_FABRICA";"ART_DESC";"ART_DESC_ABREV";"ART_UNID_MED";"ART_TIPO";"ART_EMPAQUE";"ART_CONTENIDO";"ART_DATOS_TEC";"ART_FACTOR_CONVERSION";"ART_EST";"ART_COD_ESTADISTICA";"ART_TIPO_COMISION";"ART_IND_IMP";"ART_CUAD_DEMO";"ART_RUBRO";"ART_IND_EN_LINEA";"ART_IND_CON_ROTACION";"ART_COD_ALFANUMERICO";"ART_PAIS";"ART_MINIMO_EXIGIDO_PROV";"ART_SECUENCIA";"ART_KG_UNID";"ART_KG_CONTENIDO";"ART_COLOR";"ART_NRO_MOTOR";"ART_NRO_CHASSIS";"ART_MODELO";"ART_CLAS_SUBGRUPO";"ART_CLASIFICACION";"ART_DPTO";"ART_SECCION";"ART_SECTOR";"ART_MAX_PORC_DCTO_VTA";"ART_M3_CAJA";"ART_CATEG_INDICES";"ART_MAX_PORC_DCTO";"ART_IND_MAX_POR_GRART";"ART_PRECIO_METRO_LINEAL";"ART_IND_COSTO";"ART_IND_M";"ART_IND_P";"ART_IND_V";"ART_IND_E";"ART_PORC_FIJO"
"11482";"862";"";"1";"1";"157";"2";"";"LISTELES GISELI LR10122";"LISTELES GISELI LR10122";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"LR10122";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11483";"384";"";"6";"2";"157";"2";"";"POSTE IMPREGNADO 5.5M TIPO C";"POSTE IMPREGNADO 5.5M TIPO C";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"PI5.5C";"1";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"2";"";"";"";"N";"";"";"";"";""
"11484";"41";"";"1";"1";"87";"2";"";"MT CABLE COBRE 25MM";"MT CABLE COBRE 25MM";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"CIC25";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11485";"1846";"";"1";"1";"60";"2";"";"TERMINAL HOJAL 35MM";"TERMINAL HOJAL 35MM";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"SCC-35/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11486";"1580";"";"4";"1";"51";"2";"";"DESBROZADORA HUSQVARNA 236R";"DESBROZADORA HUSQVARNA 236R";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"DH236R";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11487";"133";"";"1";"1";"47";"1";"";"LADRILLOS BLANCO";"LADRILLOS BLANCO";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"LB11487";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11488";"115";"";"4";"1";"51";"2";"";"POLEA 956-0437";"POLEA 956-0437";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"R956-0437";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11489";"1524";"";"4";"1";"64";"2";"";"CHAPA ANTI ADER.";"CHAPA ANTI ADER.";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"CQ39740-2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11490";"392";"";"11";"1";"83";"2";"";"TRAMPOLIN 14 PIES C/PROT.";"TRAMPOLIN 14 PIES C/PROT.";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"T14CP";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11491";"1595";"";"1";"1";"161";"2";"";"MARCO PTA.GUAJAYVI 0.80X2.10 SEMIBRILLO";"MARCO PTA.GUAJAYVI 0.80X2.10 S";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MPGSB080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
